date,league,t1,t2,bet_type,bet_line,bet_result,ROI,fair_odds,odds,House,url,status,telegram,profit,game
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,4.0,10.82%,1.42,1.57,BET365,url não disponível,loss,0.0,-1.0,1
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,5.0,10.82%,1.42,1.57,BET365,url não disponível,win,0.0,0.57,2
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,6.0,10.82%,1.42,1.57,BET365,url não disponível,win,0.0,0.57,3
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,3.0,12.64%,1.47,1.66,BET365,url não disponível,win,0.0,0.66,1
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,2.0,12.64%,1.47,1.66,BET365,url não disponível,win,0.0,0.66,2
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,3.0,12.64%,1.47,1.66,BET365,url não disponível,win,0.0,0.66,3
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,35.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,1
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,22.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,2
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,31.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,3
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,32.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,4
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,33.0,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,0.83,5
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_kills 25.5,29.0,16.54%,1.57,1.83,BET365,url não disponível,win,0.0,0.83,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,under,total_inhibitors 1.5,1.0,15.33%,1.44,1.66,BET365,url não disponível,win,0.0,0.66,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_barons 1.5,0.0,62.11%,4.94,8.0,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_kills 25.5,32.0,16.54%,1.57,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 05:00,LCK,Gen.G,DRX,under,total_inhibitors 1.5,1.0,15.33%,1.44,1.66,BET365,url não disponível,win,0.0,0.66,2
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_barons 1.5,2.0,62.11%,4.94,8.0,BET365,url não disponível,win,0.0,7.0,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,8.0,23.70%,1.27,1.57,BET365,url não disponível,win,0.0,0.57,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,26.0,26.16%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,1.0,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,0.72,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,0.0,11.00%,1.0,1.11,BET365,url não disponível,win,0.0,0.11,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,11.0,23.70%,1.27,1.57,BET365,url não disponível,win,0.0,0.57,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,19.0,26.16%,1.45,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,2.0,12.71%,1.53,1.72,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,1.0,11.00%,1.0,1.11,BET365,url não disponível,win,0.0,0.11,2
